Month,Year,Date,Phase,Construction Milestone,Demand %,Demand Amount,Bank Disbursement,Customer Contribution,Total Loan Disbursed,Opening Loan Balance,Interest Rate,Interest Charged,Principal Repaid,Pre-EMI Interest Payment,EMI,Monthly Payment (Pre-EMI Interest or EMI),Prepayment,Closing Balance,Total Interest Paid,Total Principal Paid,Total Customer Paid,Total Bank Paid,% of Property Value Paid to Godrej
Jul,2026,2026-07-01,Full EMI,"Booking, Within 15 Days",10,1342524.35,0.0,1342524.35,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342524.35,0.0,10.0
Aug,2026,2026-08-01,Full EMI,,0,0.0,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342524.35,0.0,10.0
Sep,2026,2026-09-01,Full EMI,Within 90 Days,10,1342524.35,1342524.35,0.0,1342524.35,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,1342524.35,0.0,0.0,1342524.35,1342524.35,20.0
Oct,2026,2026-10-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,1342524.35,7.25,8111.08,2559.88,0.0,10670.96,10670.96,100000.0,1239964.47,8111.08,102559.88,1342524.35,1342524.35,20.0
Nov,2026,2026-11-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,1239964.47,7.25,7491.45,3179.51,0.0,10670.96,10670.96,100000.0,1136784.96,15602.54,205739.39,1342524.35,1342524.35,20.0
Dec,2026,2026-12-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,1136784.96,7.25,6868.08,3802.89,0.0,10670.96,10670.96,100000.0,1032982.07,22470.61,309542.27,1342524.35,1342524.35,20.0
Jan,2027,2027-01-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,1032982.07,7.25,6240.93,4430.03,0.0,10670.96,10670.96,100000.0,928552.05,28711.55,413972.3,1342524.35,1342524.35,20.0
Feb,2027,2027-02-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,928552.05,7.25,5610.0,5060.96,0.0,10670.96,10670.96,100000.0,823491.09,34321.55,519033.26,1342524.35,1342524.35,20.0
Mar,2027,2027-03-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,823491.09,7.25,4975.26,5695.7,0.0,10670.96,10670.96,100000.0,717795.38,39296.81,624728.96,1342524.35,1342524.35,20.0
Apr,2027,2027-04-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,717795.38,7.25,4336.68,6334.28,0.0,10670.96,10670.96,100000.0,611461.1,43633.49,731063.25,1342524.35,1342524.35,20.0
May,2027,2027-05-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,611461.1,7.25,3694.24,6976.72,0.0,10670.96,10670.96,100000.0,504484.38,47327.73,838039.96,1342524.35,1342524.35,20.0
